1,812,127.54,149.11,61.74,185.32,1,-1,-1,-1
1,811,11.30,148.80,79.17,197.67,1,-1,-1,-1
2,812,129.20,154.66,61.81,179.66,1,-1,-1,-1
2,811,18.34,156.60,74.80,191.62,1,-1,-1,-1
3,813,252.73,206.10,31.03,51.17,1,-1,-1,-1
3,812,124.68,145.88,77.29,184.43,1,-1,-1,-1
3,811,20.33,158.08,74.86,182.83,1,-1,-1,-1
4,812,127.07,151.92,77.06,186.84,1,-1,-1,-1
4,811,22.46,154.71,75.04,190.18,1,-1,-1,-1
5,812,139.41,159.39,71.75,189.83,1,-1,-1,-1
5,811,29.21,158.29,74.59,196.24,1,-1,-1,-1
6,812,152.83,154.90,66.90,189.78,1,-1,-1,-1
6,811,34.31,155.75,71.32,195.40,1,-1,-1,-1
7,812,154.21,153.54,68.67,187.56,1,-1,-1,-1
7,811,39.29,152.55,71.88,199.38,1,-1,-1,-1
8,814,237.20,203.42,22.42,60.03,1,-1,-1,-1
8,812,162.00,156.72,66.97,188.86,1,-1,-1,-1
8,811,41.55,149.04,74.89,204.49,1,-1,-1,-1
9,816,291.68,200.19,25.31,61.22,1,-1,-1,-1
9,813,385.05,196.91,34.50,54.90,1,-1,-1,-1
9,812,163.00,152.30,70.88,196.06,1,-1,-1,-1
9,811,43.25,144.92,75.04,202.47,1,-1,-1,-1
10,816,298.52,202.62,25.44,60.93,1,-1,-1,-1
10,812,170.92,151.10,72.53,199.35,1,-1,-1,-1
10,811,53.46,153.14,73.29,203.70,1,-1,-1,-1
11,816,303.93,202.04,24.98,60.99,1,-1,-1,-1
11,812,172.87,145.68,81.04,207.03,1,-1,-1,-1
11,811,61.54,148.77,73.93,204.28,1,-1,-1,-1
12,818,269.63,201.47,23.22,67.29,1,-1,-1,-1
12,816,306.94,203.60,23.99,59.52,1,-1,-1,-1
12,812,178.71,143.57,87.23,216.50,1,-1,-1,-1
12,811,63.58,147.09,76.80,209.21,1,-1,-1,-1
13,818,276.46,204.78,24.82,67.00,1,-1,-1,-1
13,816,316.34,208.50,24.15,58.02,1,-1,-1,-1
13,812,183.41,144.28,86.10,216.87,1,-1,-1,-1
13,811,72.22,151.20,76.31,209.53,1,-1,-1,-1
14,818,282.84,197.95,24.66,70.38,1,-1,-1,-1
14,816,318.68,204.73,23.70,60.84,1,-1,-1,-1
14,812,200.52,144.37,82.84,220.17,1,-1,-1,-1
14,811,81.12,153.70,75.67,209.73,1,-1,-1,-1
15,820,342.49,203.24,28.75,62.25,1,-1,-1,-1
15,816,329.09,204.00,22.64,60.15,1,-1,-1,-1
15,812,208.07,149.55,85.36,220.80,1,-1,-1,-1
15,811,88.98,147.70,80.89,217.79,1,-1,-1,-1
16,820,349.14,200.62,29.21,64.88,1,-1,-1,-1
16,816,333.43,200.57,22.70,60.86,1,-1,-1,-1
16,812,216.14,139.33,84.62,227.13,1,-1,-1,-1
16,811,87.65,144.07,83.34,222.83,1,-1,-1,-1
17,812,216.74,140.65,85.81,228.61,1,-1,-1,-1
17,811,84.61,137.97,86.99,227.53,1,-1,-1,-1
18,812,219.06,137.69,90.45,237.12,1,-1,-1,-1
18,811,87.79,136.93,92.32,232.36,1,-1,-1,-1
19,812,220.96,135.53,90.50,242.15,1,-1,-1,-1
19,811,83.19,131.49,93.30,235.20,1,-1,-1,-1
20,812,217.45,136.06,94.77,243.70,1,-1,-1,-1
20,811,81.43,129.09,96.80,242.71,1,-1,-1,-1
21,826,2.11,141.11,31.05,85.31,1,-1,-1,-1
21,812,217.23,129.73,99.85,249.98,1,-1,-1,-1
21,811,72.33,122.15,98.98,251.32,1,-1,-1,-1
22,826,1.06,138.80,31.60,85.96,1,-1,-1,-1
22,812,217.88,123.56,98.80,254.09,1,-1,-1,-1
22,811,67.50,114.93,102.21,262.21,1,-1,-1,-1
23,826,-0.87,148.94,32.91,98.01,1,-1,-1,-1
23,812,220.37,120.38,104.97,264.34,1,-1,-1,-1
23,811,66.81,116.41,105.91,268.90,1,-1,-1,-1
24,812,220.27,116.11,109.43,268.76,1,-1,-1,-1
24,811,62.80,118.85,108.09,267.74,1,-1,-1,-1
25,829,-0.94,163.70,40.92,168.61,1,-1,-1,-1
25,812,220.60,112.81,116.46,282.00,1,-1,-1,-1
25,811,60.48,118.75,114.99,276.64,1,-1,-1,-1
26,829,-1.58,153.03,43.41,188.59,1,-1,-1,-1
26,812,218.90,118.08,120.52,286.96,1,-1,-1,-1
26,811,57.77,117.78,116.09,282.56,1,-1,-1,-1
27,829,-2.40,165.20,39.57,174.84,1,-1,-1,-1
27,812,220.43,112.41,123.59,298.17,1,-1,-1,-1
27,811,57.03,115.65,117.36,289.18,1,-1,-1,-1
28,829,-1.23,159.30,40.65,180.07,1,-1,-1,-1
28,812,228.02,115.04,125.16,300.94,1,-1,-1,-1
28,811,54.21,114.31,125.08,294.24,1,-1,-1,-1
29,829,-0.38,172.18,40.95,167.21,1,-1,-1,-1
29,812,225.80,108.97,127.27,310.57,1,-1,-1,-1
29,811,55.68,103.17,127.68,305.85,1,-1,-1,-1
30,829,-0.21,171.82,41.26,163.71,1,-1,-1,-1
30,812,224.57,106.97,130.87,317.29,1,-1,-1,-1
30,811,50.68,101.57,134.20,313.66,1,-1,-1,-1
31,829,-1.36,180.98,38.80,154.80,1,-1,-1,-1
31,812,226.95,103.80,131.11,325.25,1,-1,-1,-1
31,811,46.40,90.50,140.25,316.85,1,-1,-1,-1
32,832,146.61,92.13,39.50,91.03,1,-1,-1,-1
32,812,237.97,97.35,132.19,332.70,1,-1,-1,-1
32,811,47.96,87.68,143.40,329.05,1,-1,-1,-1
33,832,149.02,86.88,43.92,95.21,1,-1,-1,-1
33,812,243.08,90.46,135.64,341.81,1,-1,-1,-1
33,811,51.93,82.51,144.75,341.59,1,-1,-1,-1
34,832,154.22,83.27,51.93,117.33,1,-1,-1,-1
34,812,253.23,90.34,131.66,350.38,1,-1,-1,-1
34,811,56.63,77.10,142.24,349.42,1,-1,-1,-1
35,833,431.01,191.85,28.80,76.69,1,-1,-1,-1
35,832,156.83,90.26,61.54,148.29,1,-1,-1,-1
35,812,265.09,83.96,133.35,360.15,1,-1,-1,-1
35,811,64.65,80.08,146.87,358.83,1,-1,-1,-1
36,836,388.62,165.67,27.86,99.65,1,-1,-1,-1
36,834,3.13,121.54,43.72,141.40,1,-1,-1,-1
36,833,434.01,190.53,26.04,74.83,1,-1,-1,-1
36,812,274.73,81.93,138.54,367.46,1,-1,-1,-1
36,811,73.87,75.87,146.26,365.59,1,-1,-1,-1
37,836,392.33,160.46,31.94,113.15,1,-1,-1,-1
37,834,6.03,124.94,47.44,159.20,1,-1,-1,-1
37,812,282.76,77.23,142.07,376.62,1,-1,-1,-1
37,811,77.95,67.44,148.34,378.30,1,-1,-1,-1
38,838,427.20,176.37,29.76,94.93,1,-1,-1,-1
38,836,395.47,153.25,36.74,124.62,1,-1,-1,-1
38,834,6.31,118.36,48.66,156.30,1,-1,-1,-1
38,812,289.34,71.03,145.03,390.66,1,-1,-1,-1
38,811,75.52,57.83,151.03,389.71,1,-1,-1,-1
39,840,184.21,75.81,51.84,123.07,1,-1,-1,-1
39,839,458.10,190.22,28.38,78.08,1,-1,-1,-1
39,838,423.87,171.55,36.67,103.02,1,-1,-1,-1
39,836,398.47,154.98,37.66,131.62,1,-1,-1,-1
39,834,4.80,115.39,49.98,152.79,1,-1,-1,-1
39,812,295.81,68.52,149.70,396.30,1,-1,-1,-1
39,811,73.12,46.05,152.19,403.06,1,-1,-1,-1
40,840,182.12,70.69,57.75,143.13,1,-1,-1,-1
40,839,464.87,185.11,31.02,84.37,1,-1,-1,-1
40,838,433.76,173.62,35.33,98.59,1,-1,-1,-1
